City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,la passe,45.5549,-0.8967,51.98,88,91,12.06,FR,1714011316
213,walvis bay,-22.9575,14.5053,60.24,81,0,7.56,NA,1714011594
214,shangqiu,34.45,115.65,77.92,37,11,11.92,CN,1714011594
215,yaren,-0.5472,166.916,84.0,75,72,10.94,NR,1714011372
216,poronaysk,49.2167,143.1167,38.16,91,100,7.63,RU,1714011597
217,shambu,9.5667,37.1,57.49,56,50,1.05,ET,1714011601
218,vallenar,-28.5708,-70.7581,65.44,60,7,2.15,CL,1714011601
219,sawakin,19.1059,37.3321,82.09,68,2,6.4,SD,1714011602
220,leku,6.8667,38.45,60.42,85,95,3.56,ET,1714011603
221,aydarken,39.9443,71.3429,50.81,49,12,6.76,KG,1714011603
222,gulf shores,30.246,-87.7008,71.65,76,0,4.0,US,1714011583
223,barra de santo antonio,-9.4047,-35.5072,78.08,81,18,4.34,BR,1714011604
224,saint croix,17.7397,-64.7388,77.95,86,14,1.99,VI,1714011605
225,margate,51.3813,1.3862,42.69,72,100,1.01,GB,1714011605
226,enewetak,11.3474,162.3373,82.08,79,93,17.43,MH,1714011606
227,tulun,54.5611,100.5792,34.74,61,27,5.12,RU,1714011610
228,wajir,1.7471,40.0573,76.08,88,100,6.11,KE,1714011614
229,greenville,35.6127,-77.3663,59.16,93,40,1.01,US,1714011614
230,camargo,27.6667,-105.1667,82.26,10,100,9.08,MX,1714011615
231,kamikawa,43.84,142.7711,55.67,86,100,3.09,JP,1714011616
232,pingliang,35.5392,106.6861,67.53,35,1,2.19,CN,1714011618
233,puerto ayora,-0.7393,-90.3518,77.56,95,8,5.26,EC,1714011618
234,la ronge,55.1001,-105.2842,53.85,32,75,12.66,CA,1714011618
235,ta`u,-14.2336,-169.5144,83.64,72,64,11.68,AS,1714011619
236,kavalerovo,44.2661,135.0572,52.56,98,100,1.01,RU,1714011619
237,mingelchaur,40.764,47.0595,57.69,54,17,0.63,AZ,1714011620
238,moose jaw,50.4001,-105.5344,61.07,25,75,11.5,CA,1714011428
239,aghajari,30.7006,49.8315,70.02,56,0,4.61,IR,1714011624
240,aginskoye,51.1,114.53,42.31,39,26,20.04,RU,1714011628
241,sao tome,0.3365,6.7273,82.13,83,98,8.03,ST,1714011423
242,isangel,-19.55,169.2667,82.51,83,40,6.91,VU,1714011629
243,chancay,-11.5714,-77.2672,68.27,90,84,4.38,PE,1714011629
244,taoudenni,22.6783,-3.9836,86.14,13,0,9.64,ML,1714011630
245,port augusta,-32.5,137.7667,63.75,47,96,14.41,AU,1714011633
246,den burg,53.0542,4.7972,44.58,75,100,3.44,NL,1714011633
247,holualoa,19.6228,-155.9522,78.64,81,100,10.36,US,1714011456
248,lashio,22.9333,97.75,78.87,53,20,1.39,MM,1714011635
249,camana,-16.6228,-72.7111,69.33,89,71,8.12,PE,1714011636
250,burnie,-41.0667,145.9167,58.44,59,100,14.27,AU,1714011637
251,chipinge,-20.1883,32.6236,59.02,80,0,2.28,ZW,1714011637
252,kapa'a,22.0752,-159.319,82.38,84,100,18.41,US,1714011640
253,harper,4.375,-7.7169,81.61,82,92,6.62,LR,1714011638
254,sorong,-0.8833,131.25,85.3,71,94,3.11,ID,1714011644
255,port-vila,-17.7338,168.3219,85.6,74,75,6.91,VU,1714011645
256,eastham,41.8301,-69.9739,48.97,74,0,17.0,US,1714011427
257,la baneza,42.3003,-5.8977,44.35,71,85,6.44,ES,1714011647
258,orapa,-21.2833,25.3667,66.24,46,0,3.38,BW,1714011648
259,ljusdal,61.8288,16.0913,29.43,91,97,2.51,SE,1714011648
260,markala,13.7021,-6.0659,92.35,15,99,8.52,ML,1714011651
261,praia da vitoria,38.7333,-27.0667,61.05,77,75,10.27,PT,1714011652
262,moa,20.6569,-74.9403,76.69,87,84,9.71,CU,1714011653
263,melekhovo,56.2773,41.2935,46.72,60,99,5.01,RU,1714011653
264,carmo do rio verde,-15.3536,-49.7075,74.57,68,64,3.33,BR,1714011657
265,saint-pierre,-21.3393,55.4781,74.88,73,0,5.75,RE,1714011507
266,kajaani,64.2273,27.7285,33.85,75,0,8.05,FI,1714011658
267,st. john's,47.5649,-52.7093,51.19,97,100,28.77,CA,1714011635
268,doctor alberto oviedo mota,32.2275,-115.1697,80.73,20,0,18.59,MX,1714011661
269,zalari,53.5584,102.5065,36.66,51,61,7.23,RU,1714011662
270,nar'yan-mar,67.6713,53.087,20.1,82,10,13.0,RU,1714011557
271,thanh hoa,19.8,105.7667,83.95,80,68,3.09,VN,1714011561
272,victoria falls,-17.9235,25.843,61.9,39,0,3.13,ZW,1714011663
273,burang,30.25,81.1667,28.78,43,8,2.57,CN,1714011664
274,kirakira,-10.4544,161.9205,86.5,72,97,6.02,SB,1714011664
275,saurimo,-9.6608,20.3916,64.96,90,100,3.89,AO,1714011664
276,nicoya,10.1483,-85.452,82.51,65,78,12.12,CR,1714011665
277,naha,26.2125,127.6811,75.97,83,75,9.22,JP,1714011665
278,severo-vostotchnyi bank,39.4112,49.2479,58.96,72,87,8.32,AZ,1714011666
279,weno,7.4515,151.8468,87.75,74,100,8.05,FM,1714011670
280,port saint john's,-31.6229,29.5448,68.14,88,19,7.25,ZA,1714011671
281,fuglafjordur,62.244,-6.814,36.07,78,100,12.35,FO,1714011671
282,makurazaki,31.2667,130.3167,63.52,66,68,9.33,JP,1714011672
283,rosignol,6.2833,-57.5333,76.68,80,96,3.87,GY,1714011672
284,kingston,17.997,-76.7936,83.35,79,20,10.36,JM,1714011462
285,haradok,55.4624,29.9816,46.36,98,100,10.02,BY,1714011673
286,tura,25.5198,90.2201,88.43,37,0,7.14,IN,1714011434
287,maues,-3.3836,-57.7186,75.18,99,100,0.45,BR,1714011674
288,plettenberg bay,-34.0527,23.3716,60.51,85,55,5.37,ZA,1714011674
289,barth,54.3635,12.7249,37.0,88,17,7.2,DE,1714011677
290,santa cruz,-17.8,-63.1667,78.26,94,75,5.75,BO,1714011495
